Split,Class,Precision,Recall,F1-Score,Support
5-Fold,accel,0.2824,0.3429,0.3097,70
5-Fold,jump_takeoff,0.169,0.169,0.169,71
5-Fold,landing,0.2045,0.1667,0.1837,54
5-Fold,sprint_mid,0.2857,0.2353,0.2581,68
5-Fold,start_run,0.4078,0.4038,0.4058,104
5-Fold,stop,0.4,0.433,0.4158,97
LOSO,accel,0.0805,0.1,0.0892,70
LOSO,jump_takeoff,0.0737,0.0986,0.0843,71
LOSO,landing,0.1333,0.1111,0.1212,54
LOSO,sprint_mid,0.2857,0.2353,0.2581,68
LOSO,start_run,0.2128,0.1923,0.202,104
LOSO,stop,0.2299,0.2062,0.2174,97
