Actual,Predicted,Count
start_run,stop,29
stop,start_run,27
jump_takeoff,start_run,26
jump_takeoff,stop,25
accel,stop,24
sprint_mid,start_run,24
landing,start_run,18
stop,jump_takeoff,16
start_run,sprint_mid,16
stop,accel,14
accel,start_run,13
sprint_mid,stop,13
start_run,accel,12
stop,sprint_mid,11
start_run,jump_takeoff,11
landing,stop,11
accel,landing,11
sprint_mid,jump_takeoff,10
sprint_mid,accel,9
landing,accel,9
jump_takeoff,sprint_mid,9
landing,jump_takeoff,7
sprint_mid,landing,5
landing,sprint_mid,5
start_run,landing,5
stop,landing,5
accel,sprint_mid,5
accel,jump_takeoff,5
jump_takeoff,accel,4
jump_takeoff,landing,1
