,Gyro_Mag_mean,Acc_YZ_corr,Gyro_Y_rms,Acc_XY_corr,Acc_Y_std,Acc_Y_spec_energy,Acc_Mag_mean,Acc_Mag_rms,Gyro_X_std,Gyro_Z_rms,Acc_Mag_std,Acc_Mag_spec_energy,Gyro_Z_std,Acc_Y_rms,Gyro_Mag_rms
Gyro_Mag_mean,1.0,-0.04798991397459202,0.4636004098239237,-0.08049917149721934,-0.054593125127395996,-0.08559753016738834,-0.07161596969404689,-0.06349861164874356,0.5066592461000575,0.605097653336067,0.025527349096688527,0.04642411737964727,0.45552137068490334,-0.17874373497442292,0.988639381414772
Acc_YZ_corr,-0.04798991397459202,1.0,-0.044775831523000735,-0.00837865255145752,-0.0021204297060655043,-0.014803582245541512,-0.0012470119891052499,-0.0008535534925696148,-0.03165088640773097,-0.009813463187951607,0.00233308624529657,0.002237781496618284,-0.037232723195610294,-0.07205848614886938,-0.037520339979874
Gyro_Y_rms,0.4636004098239237,-0.044775831523000735,1.0,-0.1154363820021124,-0.04810488508460749,-0.037717474303027826,0.03865472831575806,0.04947279985566477,-0.03731078780076232,-0.013566444305723844,0.07499939662536793,0.05906820254780475,0.03542681766061955,0.002940652818014806,0.4711074546671143
Acc_XY_corr,-0.08049917149721934,-0.00837865255145752,-0.1154363820021124,1.0,0.03353298355831924,0.04157473546232798,-0.01360074862617994,-0.011837210982658794,0.06821029095470603,-0.06788471994119112,0.010282680094328539,0.013479297120573316,-0.10568273833283705,0.061087265936877584,-0.08070249447912063
Acc_Y_std,-0.054593125127395996,-0.0021204297060655043,-0.04810488508460749,0.03353298355831924,1.0,0.9829161461467827,0.3822577064760962,0.38684946438261114,-0.017767705001007477,0.014554751863619864,-0.016081701087687406,0.0018016719477214752,-0.012014636864291215,0.6953251101458218,-0.041846955473702915
Acc_Y_spec_energy,-0.08559753016738834,-0.014803582245541512,-0.037717474303027826,0.04157473546232798,0.9829161461467827,1.0,0.4117261291341519,0.41824771201065924,-0.052955870701917186,-0.015113802321269397,-0.006373729071007583,0.00954629899565999,-0.023752185343788812,0.7339780580203669,-0.0739608881148299
Acc_Mag_mean,-0.07161596969404689,-0.0012470119891052499,0.03865472831575806,-0.01360074862617994,0.3822577064760962,0.4117261291341519,1.0,0.9846435760475656,-0.1409013591423113,-0.005446882565790666,-0.170936537734816,-0.15630397348940833,0.05987060615017129,0.5421735803698401,-0.07020106442632408
Acc_Mag_rms,-0.06349861164874356,-0.0008535534925696148,0.04947279985566477,-0.011837210982658794,0.38684946438261114,0.41824771201065924,0.9846435760475656,1.0,-0.14206302990692654,0.00026390169440303934,-0.0016728325759170074,0.017327622132584552,0.05798886109416394,0.5502727138779687,-0.061594304970368684
Gyro_X_std,0.5066592461000575,-0.03165088640773097,-0.03731078780076232,0.06821029095470603,-0.017767705001007477,-0.052955870701917186,-0.1409013591423113,-0.14206302990692654,1.0,0.10134572647046858,-0.01178660440989038,-0.002459758274836078,0.014197707568811294,-0.13118526466117295,0.5169560948376978
Gyro_Z_rms,0.605097653336067,-0.009813463187951607,-0.013566444305723844,-0.06788471994119112,0.014554751863619864,-0.015113802321269397,-0.005446882565790666,0.00026390169440303934,0.10134572647046858,1.0,0.008157703735336336,0.03420695090227636,0.724359639152382,-0.11780986701395967,0.6078063022418126
Acc_Mag_std,0.025527349096688527,0.00233308624529657,0.07499939662536793,0.010282680094328539,-0.016081701087687406,-0.006373729071007583,-0.170936537734816,-0.0016728325759170074,-0.01178660440989038,0.008157703735336336,1.0,0.9796145118577126,-0.03690959258344659,-0.010928766591448582,0.028093622453619713
Acc_Mag_spec_energy,0.04642411737964727,0.002237781496618284,0.05906820254780475,0.013479297120573316,0.0018016719477214752,0.00954629899565999,-0.15630397348940833,0.017327622132584552,-0.002459758274836078,0.03420695090227636,0.9796145118577126,1.0,-0.007696609396385174,0.004662502379243315,0.046899703109176405
Gyro_Z_std,0.45552137068490334,-0.037232723195610294,0.03542681766061955,-0.10568273833283705,-0.012014636864291215,-0.023752185343788812,0.05987060615017129,0.05798886109416394,0.014197707568811294,0.724359639152382,-0.03690959258344659,-0.007696609396385174,1.0,-0.0650895647050594,0.4531404780869559
Acc_Y_rms,-0.17874373497442292,-0.07205848614886938,0.002940652818014806,0.061087265936877584,0.6953251101458218,0.7339780580203669,0.5421735803698401,0.5502727138779687,-0.13118526466117295,-0.11780986701395967,-0.010928766591448582,0.004662502379243315,-0.0650895647050594,1.0,-0.1745911045929404
Gyro_Mag_rms,0.988639381414772,-0.037520339979874,0.4711074546671143,-0.08070249447912063,-0.041846955473702915,-0.0739608881148299,-0.07020106442632408,-0.061594304970368684,0.5169560948376978,0.6078063022418126,0.028093622453619713,0.046899703109176405,0.4531404780869559,-0.1745911045929404,1.0
