,Acc_Mag_std,Heart_Rate_mean,Heart_Rate_rms,Gyro_X_spec_entropy,Gyro_YZ_corr,Gyro_Y_mean,Gyro_Y_rms,Acc_YZ_corr,Acc_XZ_corr,Gyro_Z_spec_energy,Acc_Mag_spec_entropy,Acc_Mag_spec_energy,Gyro_XY_corr,Acc_X_mean,Acc_Y_std
Acc_Mag_std,1.0,-0.09056259172012161,-0.09655540810253554,0.08176894599809038,0.017915073322258574,-0.01869043185557384,0.01361241540763683,-0.07870214779390222,-0.04248017035127271,-0.026211440112832735,-0.09546184317309585,0.9478065166959937,-0.011315105877784582,-0.03637506155008854,-0.0686982585588904
Heart_Rate_mean,-0.09056259172012161,1.0,0.9944835372406822,-0.002354185468181277,-0.031876041717168485,0.056938549328030635,0.06451805870143154,0.10583952633147033,-0.0006873981289137699,-0.030681061516411867,-0.0122471965503363,-0.09021091283068025,0.12741746086873648,0.0012791562462583152,-0.053098077478796045
Heart_Rate_rms,-0.09655540810253554,0.9944835372406822,1.0,-0.013470097887457509,-0.02220573808859032,0.05535214812166107,0.06905380235790348,0.09715476130753428,-0.0009764595258709767,-0.025215282173057543,-0.02232702856301036,-0.0937541156369924,0.13034885588624276,-0.00109458222623365,-0.04627219062330136
Gyro_X_spec_entropy,0.08176894599809038,-0.002354185468181277,-0.013470097887457509,1.0,0.04325412111532962,0.023390366065612917,0.03172741275920378,-0.04045916633320023,-0.04173731767873495,0.020322373799309675,-0.029849857856102013,0.07319195138473242,-0.10309539089346094,0.008934025854915196,-0.1309048082911362
Gyro_YZ_corr,0.017915073322258574,-0.031876041717168485,-0.02220573808859032,0.04325412111532962,1.0,-0.02811814790749691,0.020938975213480423,-0.011756238104571413,0.022468958259922494,-0.06881666972621611,-0.00478078780780288,0.04253790321836405,0.007550635747589415,0.09255286549047528,-0.05503778845944641
Gyro_Y_mean,-0.01869043185557384,0.056938549328030635,0.05535214812166107,0.023390366065612917,-0.02811814790749691,1.0,0.05457614474235379,-0.02479794453805826,-0.06049069754387008,0.012729088111454224,0.06950114736658297,-0.042248965549962166,-0.022356481554791287,-0.041914163806821926,0.10493246987531765
Gyro_Y_rms,0.01361241540763683,0.06451805870143154,0.06905380235790348,0.03172741275920378,0.020938975213480423,0.05457614474235379,1.0,-0.010707992801509345,-0.08450226261747375,0.03216115232156237,-0.08193502723750642,0.015566624646366179,0.07430126195889258,0.035193478123150636,0.04188826760390684
Acc_YZ_corr,-0.07870214779390222,0.10583952633147033,0.09715476130753428,-0.04045916633320023,-0.011756238104571413,-0.02479794453805826,-0.010707992801509345,1.0,0.07742978713022779,0.10534580387157465,0.11258331343313496,-0.07464341213634428,-0.02927819806578003,0.04927433724930511,-0.11847461709702976
Acc_XZ_corr,-0.04248017035127271,-0.0006873981289137699,-0.0009764595258709767,-0.04173731767873495,0.022468958259922494,-0.06049069754387008,-0.08450226261747375,0.07742978713022779,1.0,-0.02417036953446475,-0.04726154165130626,-0.0510508672751766,0.06857380043810196,0.00909357117057355,-0.100072458440196
Gyro_Z_spec_energy,-0.026211440112832735,-0.030681061516411867,-0.025215282173057543,0.020322373799309675,-0.06881666972621611,0.012729088111454224,0.03216115232156237,0.10534580387157465,-0.02417036953446475,1.0,0.04202707171904279,0.004955598662331982,0.1473163521885725,-0.01311332227612577,0.01792341205303932
Acc_Mag_spec_entropy,-0.09546184317309585,-0.0122471965503363,-0.02232702856301036,-0.029849857856102013,-0.00478078780780288,0.06950114736658297,-0.08193502723750642,0.11258331343313496,-0.04726154165130626,0.04202707171904279,1.0,-0.10696475588517826,-0.07558439430903016,0.036058247948691446,-0.010408052117869588
Acc_Mag_spec_energy,0.9478065166959937,-0.09021091283068025,-0.0937541156369924,0.07319195138473242,0.04253790321836405,-0.042248965549962166,0.015566624646366179,-0.07464341213634428,-0.0510508672751766,0.004955598662331982,-0.10696475588517826,1.0,-0.02774116067976474,-0.0342695588403408,-0.04424364307991589
Gyro_XY_corr,-0.011315105877784582,0.12741746086873648,0.13034885588624276,-0.10309539089346094,0.007550635747589415,-0.022356481554791287,0.07430126195889258,-0.02927819806578003,0.06857380043810196,0.1473163521885725,-0.07558439430903016,-0.02774116067976474,1.0,-0.019269563052029585,0.07332495262910482
Acc_X_mean,-0.03637506155008854,0.0012791562462583152,-0.00109458222623365,0.008934025854915196,0.09255286549047528,-0.041914163806821926,0.035193478123150636,0.04927433724930511,0.00909357117057355,-0.01311332227612577,0.036058247948691446,-0.0342695588403408,-0.019269563052029585,1.0,-0.014224506739148355
Acc_Y_std,-0.0686982585588904,-0.053098077478796045,-0.04627219062330136,-0.1309048082911362,-0.05503778845944641,0.10493246987531765,0.04188826760390684,-0.11847461709702976,-0.100072458440196,0.01792341205303932,-0.010408052117869588,-0.04424364307991589,0.07332495262910482,-0.014224506739148355,1.0
