feature,mutual_info,anova_f,p_value,rf_importance,mi_rank,anova_rank,rf_rank,avg_rank
Gyro_Mag_mean,0.08602660687164887,2.342805515588745,0.04241980491308799,0.020037879849789393,2.0,6.0,11.0,6.333333333333333
Acc_YZ_corr,0.03713811500351927,1.8337966043341936,0.1072388969245308,0.021981666945091516,11.0,15.0,5.0,10.333333333333334
Gyro_Y_rms,0.023752943922008107,2.549967418778637,0.02874084887003765,0.021136741408387495,19.0,5.0,7.0,10.333333333333334
Acc_XY_corr,0.030801553282891803,1.8984459538909289,0.09559147087091548,0.02183175315582004,14.0,13.0,6.0,11.0
Acc_Y_std,0.02525569876534206,2.222245601310121,0.05305939161237357,0.019922400634358267,17.0,7.0,13.0,12.333333333333334
Acc_Y_spec_energy,0.02332030283299069,2.1991365757553805,0.05537071317910282,0.0202391606449432,21.0,8.0,9.0,12.666666666666666
Acc_Mag_mean,0.06139069436365796,1.5637531640015272,0.17136282007246229,0.019924058154632236,6.0,21.0,12.0,13.0
Acc_Mag_rms,0.10399574308897552,1.4631696542826398,0.2029179538800043,0.019582461595194167,1.0,29.0,14.0,14.666666666666666
Gyro_X_std,0.03424195012554376,1.8032042045249654,0.11319648834689201,0.01783493355615423,12.0,16.0,23.0,17.0
Gyro_Z_rms,0.056482050002189865,1.4553011456461902,0.2055887060487624,0.01936169975646405,7.0,30.0,15.0,17.333333333333332
Acc_Mag_std,0.0,4.388535776395998,0.0007850503455271162,0.02461740856215647,50.5,1.0,1.0,17.5
Acc_Mag_spec_energy,0.0,3.900885734015506,0.00207132096488515,0.024154096547622277,50.5,2.0,2.0,18.166666666666668
Gyro_Z_std,0.003750048379361992,2.170431408566099,0.05837530382888727,0.01901522786574254,30.0,9.0,16.0,18.333333333333332
Acc_Y_rms,0.0,2.9885440079604177,0.01240975924614312,0.022202649455929653,50.5,3.0,4.0,19.166666666666668
Gyro_Mag_rms,0.0,2.745932310785212,0.01979396685826358,0.0208474770195304,50.5,4.0,8.0,20.833333333333332
Gyro_Z_spec_energy,0.003085966612687674,2.0020168905452307,0.07935912431631763,0.01819299300618307,31.0,11.0,21.0,21.0
Gyro_XY_corr,0.006976420691760854,1.4793068471912956,0.19753513095725855,0.018676243894654634,25.0,27.0,17.0,23.0
Gyro_Y_spec_entropy,0.03417929792218599,1.105148579866039,0.3584865048338117,0.01744277192715653,13.0,35.0,26.0,24.666666666666668
