feature,mutual_info,anova_f,p_value,rf_importance,mi_rank,anova_rank,rf_rank,avg_rank
Acc_Mag_std,0.057532241913491156,2.3574700764934486,0.040541129989978185,0.0187069719466954,6.0,8.0,11.0,8.333333333333334
Heart_Rate_mean,0.02183295155320808,2.3674660576130795,0.039783515890226544,0.020736428372363433,16.0,7.0,5.0,9.333333333333334
Heart_Rate_rms,0.0398955887189234,2.2403491975682517,0.05051071497507622,0.020700219483799288,11.0,11.0,6.0,9.333333333333334
Gyro_X_spec_entropy,0.005149636465112906,4.029541649262111,0.001506314238496003,0.024624454921243228,31.0,1.0,1.0,11.0
Gyro_YZ_corr,0.02553788746615382,2.60882514968089,0.02512117105882344,0.017977791369745286,14.0,4.0,16.0,11.333333333333334
Gyro_Y_mean,0.002854638837365364,2.7909070772952025,0.017674213088128193,0.02192448690788693,33.0,3.0,3.0,13.0
Gyro_Y_rms,0.019931705796705224,1.6752708184131169,0.1405283883379417,0.01881358549766049,17.0,13.0,10.0,13.333333333333334
Acc_YZ_corr,0.06169690854103971,0.9815322864339386,0.4292834566767628,0.02103458448970554,5.0,34.0,4.0,14.333333333333334
Acc_XZ_corr,0.016299321827261792,1.9025420417941579,0.09392378772958988,0.01815397415926539,20.0,12.0,15.0,15.666666666666666
Gyro_Z_spec_energy,0.043643875383371,1.4815634684973689,0.19579592822712047,0.016608000517815087,9.0,17.0,22.0,16.0
Acc_Mag_spec_entropy,0.01146426874639328,1.3949386412790183,0.22615131106140737,0.018889769467297122,25.0,19.0,9.0,17.666666666666668
Acc_Mag_spec_energy,0.0017947061898131444,2.254485635860273,0.04919366841207537,0.01902533175762674,36.0,10.0,8.0,18.0
Gyro_XY_corr,0.018548143757370905,1.153334090738045,0.33245503774897406,0.018427021373120727,18.0,23.0,13.0,18.0
Acc_X_mean,0.0,3.0380504226470184,0.010907314778367679,0.02282542858437549,54.0,2.0,2.0,19.333333333333332
Acc_Y_std,0.06368079352942368,1.0546324636992273,0.3858711854782767,0.01612511039180917,4.0,28.0,28.0,20.0
Gyro_Y_spec_entropy,0.005910623619904687,1.6666682476579382,0.14264902939900687,0.017836548251639613,30.0,14.0,17.0,20.333333333333332
Acc_Y_rms,0.02246636195009044,0.941708993043393,0.4542863419306231,0.017516426109877928,15.0,38.0,19.0,24.0
Gyro_Mag_dom_freq,0.029630206274493087,2.3789621886923413,0.038928970887976366,0.009228433144570874,13.0,6.0,53.0,24.0
Gyro_Z_mean,0.015531259087027127,0.8950374180505873,0.4847592536044758,0.018499834507564,21.0,40.0,12.0,24.333333333333332
Gyro_XZ_corr,0.013801758297390165,1.0258942411285608,0.40254959949953545,0.017249902057385007,22.0,33.0,20.0,25.0
Acc_Mag_zcr,0.01687096190886317,2.434900952689037,0.03501601285911099,0.009334197097931521,19.0,5.0,52.0,25.333333333333332
Gyro_Mag_std,0.0,1.434157378898494,0.21193925962027965,0.019725408287223974,54.0,18.0,7.0,26.333333333333332
Acc_Z_rms,0.07013994598982043,0.9779888895451949,0.43147001760421955,0.014779340175888393,2.0,35.0,42.0,26.333333333333332
Acc_X_spec_energy,0.0642737278452401,0.8018571116211601,0.5490979005427449,0.015262524968738924,3.0,44.0,34.0,27.0
Acc_XY_corr,0.0007766399645872113,1.0612174192925647,0.3821209479594257,0.01769622689860549,38.0,27.0,18.0,27.666666666666668
Acc_Y_mean,0.0,1.5728827327427186,0.16770825062952952,0.018313183600258076,54.0,16.0,14.0,28.0
Acc_X_std,0.09673973072702324,0.6939969902184326,0.6283688090513507,0.015007907829463749,1.0,51.0,37.0,29.666666666666668
Acc_Y_dom_freq,0.00862520011747403,2.3455201662119065,0.041464971000074714,0.008760882849374345,29.0,9.0,56.0,31.333333333333332
Acc_Y_spec_entropy,0.0,1.0653843017918776,0.37976161900747196,0.01664556997195868,54.0,26.0,21.0,33.666666666666664
Acc_Y_spec_energy,0.0,1.286113936351848,0.26989515975022105,0.01615669378089497,54.0,22.0,25.0,33.666666666666664
Gyro_Z_std,0.0,1.6479659978143997,0.1473593733634399,0.015422530270404477,54.0,15.0,32.0,33.666666666666664
Gyro_Mag_spec_energy,0.0,1.069394692149057,0.377500987007097,0.016326249046963535,54.0,25.0,23.0,34.0
Acc_Z_mean,0.0,1.079777828719075,0.37169407742665966,0.016314498551250976,54.0,24.0,24.0,34.0
Gyro_Y_std,0.0022112874388815484,1.0545309442139323,0.38592921110545797,0.014984085988538677,34.0,29.0,39.0,34.0
Gyro_Z_rms,0.032459494897727925,0.27998304231805693,0.9238934280879826,0.016147114218569646,12.0,65.0,26.0,34.333333333333336
Gyro_X_spec_energy,0.0,1.3859988663013916,0.22950276453251559,0.015834209803458742,54.0,20.0,30.0,34.666666666666664
Gyro_Y_spec_energy,0.04914572818504759,0.703897949038137,0.6209259426594267,0.013998252976862097,8.0,50.0,46.0,34.666666666666664
